資料集,類別,標籤,重寫敘述
電力交易市場-歷史結清價格與交易量,發電,"電力交易, 備轉容量, 價格波動, 時間序列, 調頻備轉, 即時備轉, 補充備轉, 發電, 系統調度, 風險管理","【1. 核心描述】  
本資料集「電力交易市場-歷史結清價格與交易量」記錄了台灣電力交易市場中，調頻備轉、即時備轉及補充備轉等不同備轉容量的得標容量、需求量、供應量與結清價格等交易數據。資料涵蓋的時間單位為日與小時，提供詳細的時間序列資料，反映電力市場在不同時段的交易狀況。地理範圍主要聚焦於台灣地區的電力系統調度與市場運作。

【2. 應用場景】  
此資料集可用於分析電力市場的價格變動趨勢與備轉容量配置效率，協助電力系統調度單位提升備轉資源管理。此外，政策制定者可藉由此資料評估電力市場競爭狀況與價格機制效果；研究者則可用於探討電力備轉市場的供需平衡與價格波動。企業方面，發電廠與電力交易商能利用資料優化交易策略與風險管理。

【3. 背景資訊】  
台灣電力市場為確保電力供應穩定，設置多種備轉容量機制以應對突發需求與系統異常。由經濟部能源局及台灣電力交易中心等機構負責監督與管理電力交易市場，定期收集並公開此類交易資料，促進市場透明與公平競爭。資料收集的目的是提供市場參與者與公眾完整的交易資訊，支持電力系統可靠運作與能源政策制定。

【4. 資料特徵】  
資料包含26個欄位，涵蓋日期（tran_date）、時間（tran_hour）、多種類型備轉容量的得標容量（如國營、民營、非交易）、需求量、供應量及結清價格等指標。數據主要為數值型態，部分欄位為文字型態（日期與時間）。資料為時間序列形式，通常依小時更新，有助於反映即時與歷史交易動態。

【5. 使用限制與注意事項】  
資料中可能存在缺漏值或非交易容量欄位需特別留意，部分備轉容量類型如「非交易」可能不直接反映市場交易活躍度。使用者在分析時，建議結合其他電力系統運作資料（如負載需求、發電機組狀況）以獲得更全面解釋。此外，資料僅涵蓋交易市場相關內容，不包含電力消費端行為或長期供需規劃資訊。

【6. 潛在價值】  
透過解析此資料集，能協助電力市場參與者掌握價格波動趨勢與備轉容量配置效率，優化資源調度決策，降低系統風險。政府與政策制定者可依據資料監控市場健康狀況，調整市場規則或激勵措施，促進電力系統穩定與永續發展。對學術研究而言，資料可用於建構電力市場模型，分析價格生成機制與備轉需求影響因素。

【7. 其他補充（分類說明）】  
此資料集屬於「電力交易」分類，專注於電力市場中的備轉容量交易部分，涵蓋調頻備轉、即時備轉與補充備轉三大類型。資料反映的是發電端與系統調度端的交易活動，非直接用電端數據，適合用於發電與輸配電系統的交易與調度分析。"
電力交易市場-歷史投標容量,發電,"備轉容量, 電力市場, 歷史投標, 發電, 電力交易, 市場分析, 時間序列, 供需平衡, 政策制定, 系統穩定性","【1. 核心描述】  
本資料集記錄了台灣電力交易市場中歷史投標的備轉容量數據，涵蓋了不同備轉類型與供應單位的投標狀況。資料涵蓋的時間範圍以交易日期及交易時間為單位，具體時間區間依資料集更新而定。地理位置主要針對台灣地區的電力市場，反映國營及民營電力業者在調頻備轉、即時備轉、補充備轉等多種備轉容量的投標量。  

【2. 應用場景】  
此資料集適用於電力市場分析、電力系統備轉容量規劃、電力供需平衡評估及市場行為研究。電力公司可利用資料調整備轉容量策略以提升供電可靠度，政策制定者可參考備轉容量趨勢制定能源政策，研究者可分析國營與民營業者的競爭與合作態勢。  

【3. 背景資訊】  
資料由電力交易相關機構公開，旨在提高電力市場透明度並促進市場效率。隨著電力市場開放與多元化，監管單位蒐集投標備轉容量資料，以監控市場運作及確保系統安全。電力產業中，備轉容量是維持電網穩定運作的重要指標，故此資料對管理與決策具關鍵意義。  

【4. 資料特徵】  
資料包含10個欄位，主要分為交易時間類別（文字型態）及多項備轉容量數值（數值型態）。重要欄位包括交易日期（tran_date）、交易時間（tran_hour），以及分別代表國營與民營業者的調頻備轉、即時備轉、補充備轉及電能移轉複合動態調節備轉容量。資料通常以日或小時為更新頻率，呈現時間序列特性。  

【5. 使用限制與注意事項】  
資料中可能存在缺漏值或異常值，使用時需進行適當清理與驗證。由於備轉容量涉及多種市場機制，單一資料集可能無法完整反映電力系統全貌，建議搭配其他電力負載、發電量及市場價格資料進行綜合分析。此外，交易時間欄位為文字格式，轉換時需注意時間格式一致性。  

【6. 潛在價值】  
透過分析歷史投標容量，相關單位可掌握市場備轉容量變化趨勢，優化備轉容量配置，提升電力系統穩定性與效率。對投資者而言，了解市場競爭態勢有助於風險評估與投資決策。政策制定者亦可根據資料制定更符合市場需求的調控措施，推動綠能與能源轉型目標。  

【7. 其他補充（分類說明）】  
本資料屬於電力交易分類，專注於電力市場中的備轉容量投標行為，涵蓋發電端的備轉容量供給情況，對應發電及電力市場交易環節。資料反映的是市場供應面狀況，非直接的用電側數據，適合用於發電與電力交易系統的分析。"
台電各機組發電量,發電,"發電, 機組效率, 能源監控, 台灣電力, 裝置容量, 實際發電量, 發電數據分析, 能源政策, 綠能轉型, WAND_發電","【1. 核心描述】  
本資料集「台電各機組發電量」記錄了台灣電力公司旗下各發電機組的發電情況，涵蓋不同類型的發電機組（如火力、水力、核能等），主要反映每個機組的裝置容量與實際發電量。資料包含的時間點由更新時間欄位標示，地理範圍為台灣地區，反映全台發電系統的即時或定期運作狀況。

【2. 應用場景】  
此資料集適用於多種情境，如分析不同發電機組的發電效率，評估整體電力供應的穩定性，規劃電網輸配電架構，監控發電設備運行狀態，以及協助制定能源政策和發展策略。對於研究用電行為及能源轉型趨勢也有重要參考價值。

【3. 背景資訊】  
資料由台灣電力公司（台電）收集與維護，作為管理與監控台灣電力生產的重要依據。台電作為國內主要電力供應商，需透過此資料掌握各機組的發電狀況，以確保電力穩定供應並優化能源使用。

【4. 資料特徵】  
資料包含六個欄位：機組類型（文字類型）、機組名稱（文字）、裝置容量（以兆瓦為單位的文字數值）、實際發電量（兆瓦數的文字數值）、備註（文字說明）、更新時間（時間標記文字）。裝置容量與實際發電量是主要數值指標，反映理論與實際的發電能力。更新頻率視系統設定，可能為即時或定期更新。

【5. 使用限制與注意事項】  
由於部分欄位使用文字格式紀錄數值，使用前需進行格式轉換以利數據分析。資料可能存在更新延遲或缺漏，尤其在機組維修或異常狀態時，備註欄位有助理解異常原因。此外，本資料未包含用電端數據或輸配電網絡資料，單獨使用時無法完整反映整體電力消耗與流向，需搭配其他資料綜合分析。

【6. 潛在價值】  
透過本資料集，管理者與研究者可以掌握各發電機組的運行效能與產能利用率，協助提升電力生產效率，優化能源分配，並支持政策制定者推動綠能發展與能源轉型，促進台灣電力系統的永續發展與環境保護。

【7. 其他補充（分類說明）】  
此資料集屬於「發電」類別，專注於發電端的產能與產量監控，與電力的輸配電及售電環節資料分開管理，是電力系統中基礎且關鍵的生產數據來源。"
台電每10分鐘負載資料,發電,"電力負載, 時間序列, 需求預測, 輸電, 配電, 智慧電網, 能源管理, 台灣電力, 即時監控, 用電行為分析","【1. 核心描述】  
本資料集記錄了台灣電力公司（簡稱台電）全國電網系統在每10分鐘的瞬時電力負載數據，涵蓋的時間點以日期與具體時間標示。資料反映的是台灣地區整體用電需求的即時負載狀況，能夠呈現一天中不同時段及不同日期的電力使用情況，範圍涵蓋全台電力系統的總負載量。

【2. 應用場景】  
此資料集可用於多種能源管理與分析情境，包括：分析台灣電力系統的用電高峰與低谷、評估發電廠的發電計畫與調度效率、進行輸配電網路規劃、研究用電行為趨勢與季節性變化、支持能源政策制定與需求預測等。也適合學術研究與商業決策參考。

【3. 背景資訊】  
台電作為台灣主要的電力供應商，需持續監控與管理全國電力系統的負載狀況，以確保供電安全與穩定。此資料集的收集目的在於提供即時且準確的負載資訊，協助系統運營單位做出合適的發電與調度決策，並推動智慧電網與能源管理的發展。

【4. 資料特徵】  
資料集包含兩個主要欄位：日期時間（date_time），以文字格式記錄負載時間點；瞬時負載（load），以數值格式（兆瓦，MW）表示該時間點的電力負載。資料呈現為時間序列，更新頻率為每10分鐘一次，提供高時間解析度的負載變化資訊。

【5. 使用限制與注意事項】  
資料集中無法直接反映區域用電分布或用戶類別差異，僅為全台總負載數據。可能存在欠缺特定時間段資料的情況，使用時需注意資料完整性。若需進行更細緻的分析，建議搭配其他資料源，如區域負載、用戶類型或發電機組運轉狀況等，以獲得更全面的理解。

【6. 潛在價值】  
本資料可協助能源管理者及決策者掌握電力系統負載變化，有利於提升電網調度效率與供電安全。對於研究用戶用電行為、優化能源結構及推動節能減碳政策也具重要參考價值。此外，商業領域可利用此資料進行市場需求預測與風險評估，提升經營策略的科學性。

【7. 其他補充（分類說明）】  
該資料集屬於「輸配電負載監控」範疇，主要聚焦於電力系統的負載資訊，屬於配電與輸電監測的一部分。並非直接包含發電機組數據或用戶端詳細用電資料，但為整體電力系統運營與管理提供基礎數據支撐。"
台電每10分鐘負載資料(依能源別),發電,"發電, 輸配電, 負載分析, 多能源結構, 即時數據, 再生能源, 用電預測, 能源政策, 台灣電力, 電力系統","【1. 核心描述】  
本資料集記錄了台灣電力系統中各類能源來源的電力負載數據，數據以每10分鐘為時間間隔進行統計，涵蓋核能、燃煤、燃油、汽電共生、民營電廠、輕油、抽蓄發電、水力、風力、太陽能、燃氣等多種能源種類的用電負載情況。資料反映了台灣整體電力供應狀況，時間跨度涵蓋近年來的即時或歷史負載數據，地理範圍則為台灣全境。

【2. 應用場景】  
此資料集可用於多種場景，如發電效率分析、能源結構評估、輸配電系統規劃、用電需求預測、再生能源比例監控，以及能源政策制定和評估等。透過分析不同能源類別的負載變化，能協助電力公司與政府部門優化能源調度，推動綠能發展，並提升電力系統的穩定性與經濟效益。

【3. 背景資訊】  
資料由台灣電力公司蒐集並公開發布，反映台灣電力產業的實際運作情況。台電作為台灣主要的電力供應商，負責全台的電力生產與分配，藉由定期蒐集各能源來源的負載資料，支持電力系統的安全穩定運作及相關政策的制定。

【4. 資料特徵】  
資料包含14個欄位，主要為時間欄位（date_time，文字格式）與13個能源類別的數值欄位，分別代表不同能源的電力負載（單位通常為兆瓦或其他功率單位）。數值欄位為連續型數據，呈現即時或歷史負載量，涵蓋核能、燃煤、燃油、汽電共生、民營電廠、輕油、抽蓄發電、水力、風力、太陽能、燃氣、抽蓄負載等。資料更新頻率高，通常每10分鐘一次，能反映短時間內的負載波動。

【5. 使用限制與注意事項】  
資料中可能存在缺漏值或因設備檢修、通訊異常等原因導致的暫時缺數。此外，單獨使用此資料集無法全面解釋用電行為，常需搭配氣象資料、用電端資訊或經濟活動指標等輔助資料，才能更完整剖析負載變化的原因。使用者應注意數據的時間同步性及單位一致性，並留意資料的更新時間與完整性。

【6. 潛在價值】  
透過本資料集，研究人員與決策者可以深入了解各類能源的負載動態與結構變化，有助於提升電力系統效率、降低能源成本並減少碳排放。企業可依此調整發電策略與投資方向，政府部門則可基於數據監控能源政策成效，推動能源轉型與永續發展目標。

【7. 其他補充（分類說明）】  
本資料集屬於「發電」與「輸配電」相關分類，專注於電力產出端的能源結構與負載情況，涵蓋傳統與再生能源的多元能源來源，是理解台灣電力系統運作核心的重要資料來源。"
113年度技能競賽大數據運用類團體組-正式資料,售電,"製造業用電, 用電行為分析, 大數據分析, 電力負載預測, 能源效率, 節能政策, 售電, 用電管理, 技能競賽, 時間序列數據","【1. 核心描述】  
本資料集記錄了2024年度製造業用電情況，涵蓋各製造業別在特定用電時間點的用電度數及相關電號數量。資料主要反映製造業在不同時間的電力消耗狀況，地理範圍未特別限制，屬於大範圍行業用電數據。

【2. 應用場景】  
此資料集可用於分析製造業的用電行為與趨勢，協助企業優化用電管理，提升能源使用效率。也可用於能源供應商進行電力負載預測與輸配電規劃，或支持政府部門制定相關能源政策與節能措施。此外，資料可作為技能競賽中大數據分析類別的實務練習素材。

【3. 背景資訊】  
資料由技能競賽主辦單位提供，目的是促進參賽者在大數據運用領域的實務能力，並強化對能源產業數據的理解。製造業作為用電大戶，其用電數據的蒐集有助於推動整體能源管理與節能政策。

【4. 資料特徵】  
資料包含4個欄位：  
- industry（文字型態）：製造業名稱，表示用電單位所屬產業類別。  
- date_time（文字型態）：用電時間，記錄用電數據的時間點。  
- kwh（數值型態，15位整數及6位小數）：用電度數，反映該時間點的電力消耗量。  
- num（整數型態）：聚合電號數，代表該筆資料涵蓋的電號數量。  
資料可能以時間序列形式呈現，用於追蹤不同時間點的用電變化。更新頻率依技能競賽資料提供時間而定，非即時更新。

【5. 使用限制與注意事項】  
資料中可能存在缺漏值，尤其在時間標記或用電度數欄位，使用時需先行清理與驗證。資料時間以文字格式呈現，需轉換為標準時間格式以利分析。由於僅包含製造業用電，無法直接反映其他行業用電狀況。單一數據點代表聚合電號，可能掩蓋個別用電戶的詳細變化，建議搭配其他細部用電資料或地理資訊以獲得更完整的洞察。

【6. 潛在價值】  
此資料集有助於了解製造業用電模式，支持企業能源成本控制與效率提升。對電力公司而言，可用於負載管理與供電調度優化。政策制定者可藉由分析用電趨勢，制定更具針對性的節能政策與補助方案。對於學術研究及技能培訓亦具有實務價值，促進大數據分析技術與能源管理知識的結合。

【7. 其他補充（分類說明）】  
本資料集屬於「技能競賽」分類，專注於大數據分析的實務應用。從能源產業分類角度來看，資料主要涵蓋「用電」及「售電」層面，特別是用電端的製造業消費行為分析，並不包含發電或輸配電設備的運作數據。"
114年度技能競賽團體組大數據運用類題目-訓練資料,發電,"發電, 時間序列, 台灣電力, 大數據分析, 能源政策, 發電效率, 區域比較, 技能競賽, 電力預測, 發電量數據","【1. 核心描述】  
本資料集記錄了2025年度台灣各縣市在不同日期及小時的發電量數據。資料涵蓋時間範圍為全年各時段，地理範圍涵蓋全台所有縣市，主題聚焦於每小時的發電量數值，數據經過轉換處理以便分析使用。此資料集有助於了解不同區域及時間點的電力生產狀況。

【2. 應用場景】  
此資料集適用於多種情境，包括發電效率分析、區域發電量比較、電力需求預測，以及輔助政府或企業制定能源政策和規劃輸配電網絡。此外，也可用於技能競賽中大數據分析實務的練習與模型建置。

【3. 背景資訊】  
資料來源於技能競賽專案，旨在透過真實且具代表性的發電數據，培養參賽者利用大數據技術解決能源領域問題的能力。此競賽由相關能源或資訊技術機構主辦，反映業界對於精準能源數據分析的重視。

【4. 資料特徵】  
資料集包含三個主要欄位：  
- 「county」為文字類型，代表台灣的各縣市。  
- 「date_time」為文字類型，記錄具體的日期與小時，反映時間序列特性。  
- 「kwh」為數值類型，表示該時間與地點的發電量，單位為千瓦時，且已經過轉換處理，方便直接使用。  
資料可視為時間序列數據，適合進行時間分析與趨勢預測。更新頻率依賽事需求而定，通常為歷史完整資料集。

【5. 使用限制與注意事項】  
資料中發電量數據經轉換處理，使用者需注意轉換方法對分析結果的可能影響。資料集未明確標示缺漏值情況，分析前建議先行檢查與清理。此外，僅提供發電量與時間地理位置，若需深入分析發電原因或設備狀況，需搭配其他能量來源、氣象或設備資料。

【6. 潛在價值】  
透過本資料集，使用者能夠監控與比較不同區域及時間的發電表現，進而優化能源供應與管理策略。對政策制定者而言，可用於評估區域能源政策成效；對企業則有助於提升發電效率及降低成本；對學術與競賽團隊則提供實務數據支持創新分析方法。

【7. 其他補充（分類說明）】  
本資料集屬於「發電」類型，專注於記錄與分析電力生產階段的數據，不包含輸電、配電或售電相關資訊。適合用於發電量績效分析及相關能源大數據應用。"
114年度技能競賽團體組大數據運用類題目-正式競賽資料,發電,"發電, 時間序列, 地區分析, 能源管理, 發電效率, 技能競賽, 台灣能源, 再生能源, 發電量預測, WAND-發電","【1. 核心描述】  
本資料集記錄了台灣不同縣市於特定時間（以小時為單位）的發電量數據。資料涵蓋了2025年度（114年度）技能競賽期間內的發電量資訊，時間維度細緻到每小時，地理範圍涵蓋全台各縣市。資料中發電量已經經過轉換處理，便於分析使用。

【2. 應用場景】  
此資料集適用於分析不同地區的發電趨勢與效率，協助發電廠或能源管理單位優化發電排程。此外，也可用於輸配電網路規劃，評估各地負載需求及能源分布，甚至可輔助政府或相關機構制定區域能源政策及推動再生能源發展策略。

【3. 背景資訊】  
該資料集源自台灣政府或相關能源管理單位，為114年度技能競賽團體組大數據運用類題目的正式競賽資料。收集此資料的目的是培養並檢驗參賽者在能源大數據分析與應用上的能力，同時促進能源產業的數據透明化與智慧化管理。

【4. 資料特徵】  
資料包含三個主要欄位：  
- 縣市（county）：文字格式，標示發電量所屬的地理區域。  
- 時間-小時（date_time）：文字格式，表示資料記錄的具體時刻，精確到小時。  
- 發電量（kwh）：數值格式，經過轉換處理的發電量數據，單位為千瓦時（kWh）。  

資料呈現為時間序列形式，方便進行時段分析。更新頻率依競賽資料提供狀況而定，通常為歷史資料。

【5. 使用限制與注意事項】  
資料中可能存在缺漏值或時間點未涵蓋所有地區，使用時需留意資料完整性。此外，發電量已做過轉換，若需更細節的原始數據或其他相關能源參數（如燃料種類、發電設備類型）則需搭配其他資料集。因資料時間格式為文字，分析前建議轉換為日期時間型態以利操作。

【6. 潛在價值】  
透過分析本資料集，可幫助能源管理單位掌握不同縣市的發電狀況，提升能源調度效率與供需平衡能力。政策制定者也能根據發電量分布，制定更精準的能源政策或補助方案。此外，企業可利用此資料評估市場需求，推動智能電網與再生能源應用，促進綠色轉型及永續發展。

【7. 其他補充（分類說明）】  
本資料集屬於發電類別，主要聚焦於各地區發電量的記錄與分析，不包含輸電、配電或售電的相關數據。適合用於發電效率監控、發電量預測及相關技能競賽的數據應用。"
115年度技能競賽團體組大數據運用類題目-訓練資料,發電,"發電量, 時間序列, 區域分析, 能源預測, 發電效率, 大數據分析, 技能競賽, 能源管理, 發電","【1. 核心描述】  
這個資料集記錄了特定區域在特定時間點的發電量數據。資料涵蓋了不同區域（region）在不同時間（date_time）的電力產出（kwh），反映了區域電力生產的變化情況。資料主要聚焦於發電量的數值，時間範圍則依照資料中的日期時間欄位而定，地理範圍為各個標示的區域。

【2. 應用場景】  
此資料集可用於分析各區域的發電量趨勢，幫助評估發電效率和能源供應狀況。適合用於發電量預測、區域能源資源分配、發電設備效能評估，以及技能競賽中大數據分析和能源應用相關問題的練習與測試。也能作為輸配電計畫及能源政策制定的參考資料。

【3. 背景資訊】  
該資料集是為115年度技能競賽團體組大數據運用類題目所準備的訓練資料，目的是提供參賽者練習和驗證資料分析能力。資料來源與背景與能源產業相關，透過真實或模擬的發電量數據，幫助參賽者理解並應用能源領域的大數據分析技術。

【4. 資料特徵】  
資料集包含三個主要欄位：區域（region，文字類型）、時間（date_time，文字類型，代表時間點）以及發電量（kwh，數值型態，單位為千瓦時）。資料呈現為時間序列形式，反映各區域在不同時間點的發電量。資料更新頻率視技能競賽需求而定，通常為歷史靜態資料。

【5. 使用限制與注意事項】  
資料中時間欄位為文字格式，使用時可能需轉換為標準時間格式以利分析。資料集欄位較少，缺乏詳細的設備類型、氣候條件或用電需求等輔助資訊，分析時可能需要搭配其他資料來源以得到更完整的理解。資料可能存在缺漏值或時間點不連續的情況，需進行適當的資料清理。

【6. 潛在價值】  
透過本資料集，可以有效練習和驗證區域發電量的資料分析與預測能力，對能源管理者、政策制定者及相關研究人員具有參考價值。能協助評估發電表現及區域能源供應狀況，促進能源資源的合理配置，並推動能源產業的數據驅動決策。

【7. 其他補充（分類說明）】  
此資料集屬於發電相關分類，重點在於記錄並分析各區域的發電量，適合用於發電效率監控與分析，並為技能競賽中能源大數據應用題目提供基礎資料。"
中央氣象署鄉鎮氣象預報資料(舊)-區域對照表,售電,"氣象資料, 地理對照, 區域預報, 災害預警, 能源負載預測, 智慧城市, 政策支援, 地理資訊系統, 氣象觀測, 配電","【1. 核心描述】  
本資料集「中央氣象署鄉鎮氣象預報資料(舊)-區域對照表」記錄了台灣各縣市及其鄉鎮市區的地理資訊與對應代碼，包含縣市名稱、鄉鎮市區名稱、地區編碼，以及對應的緯度與經度座標。資料主要用於區域氣象預報的地理參考，涵蓋全台灣範圍，時間上則以最後更新時間標示資料維護狀態。

【2. 應用場景】  
此資料集可用於將氣象預報數據精確對應至特定鄉鎮市區，幫助氣象服務提供更細緻的區域預報。也適用於氣象分析、災害預警系統、能源需求預測（如根據天氣調整用電負載）、城市規劃及交通管理等場景。此外，與其他區域性資料結合，還能支持環境研究及地方政策制定。

【3. 背景資訊】  
資料來源為中央氣象署，台灣政府官方氣象機構，負責提供全國氣象觀測與預報服務。收集此區域對照資料是為了統一氣象資料的地理標準，方便不同系統與用戶準確識別與使用各鄉鎮市區的氣象資訊，確保預報和分析的地理一致性。

【4. 資料特徵】  
資料欄位共6項，包含：  
- 縣市別（country，文字類型）  
- 鄉鎮市區（city，文字類型）  
- 地區編碼（geocode，文字類型）  
- 緯度（lat，數值型，精確到小數點後6位）  
- 經度（lon，數值型，精確到小數點後6位）  
- 最後更新時間（last_update_time，文字型，記錄資料最後一次更新時間）  
資料屬於靜態參考資料，更新頻率視氣象署官方維護而定，通常不會頻繁變動。

【5. 使用限制與注意事項】  
本資料集僅包含地理對照資訊，不含實際氣象數據，需與氣象觀測或預報資料結合使用。資料中可能存在少數行政區劃調整未即時反映的情況，且無缺漏值，但使用時應確認與最新行政區劃一致性。此外，「最後更新時間」欄位為文字格式，解析時需注意格式差異。

【6. 潛在價值】  
本資料能有效促進氣象數據的區域精準對應，提升氣象服務的準確度和實用性，對於能源產業如發電調度、輸配電負載管理、以及風險評估等方面皆有助益。更廣泛來說，地方政府、研究機構及企業可利用此資料更好地結合氣象與地理資訊，支持決策制定、災害防範與智慧城市發展。

【7. 其他補充（分類說明）】  
本資料集屬於「氣象觀測」分類，主要提供地理區域對應關係，屬於氣象資料體系中的基礎參考資料。它並非直接的發電、輸電、配電或售電資料，但在能源產業中可作為氣象資料與地理位置整合的關鍵橋樑，間接支持相關業務應用。"
中央氣象署鄉鎮氣象預報資料(舊)-天氣預測詳細表,售電,"氣象預報, 時間序列, 區域氣象, 能源需求預測, 災害預警, 公共健康, 風力發電, 太陽能發電, 氣象觀測","【1. 核心描述】  
本資料集記錄了中央氣象署針對台灣各鄉鎮區域的天氣預報詳細資訊，涵蓋的時間範圍包括每筆資料的開始與結束時間，並持續更新。資料內容包含溫度、露點溫度、相對溼度、風向風速、蒲福風級、舒適度指標、體感溫度及天氣現象等多項氣象指標。地理範圍以鄉鎮區域為單位，對應特定地區編碼，提供精細的區域氣象預報資訊。

【2. 應用場景】  
此資料集適用於多種情境，包括日常天氣預報參考、農業生產規劃、戶外活動安排、災害預警與應變、城市規劃與交通管理、健康風險評估（如熱傷害預防）、能源需求預測（如空調與暖氣用電量分析）等。此外，也能支持氣象科學研究與氣候趨勢分析。

【3. 背景資訊】  
資料由中央氣象署提供，作為政府官方氣象預報的基礎資料，目的是提供精確且即時的氣象資訊，協助民眾與相關單位掌握天氣變化，促進公共安全與生活品質提升。中央氣象署作為臺灣氣象監測與預報的主要機構，肩負氣象資料蒐集、分析與發布的責任。

【4. 資料特徵】  
資料包含16個欄位，涵蓋地區編碼（文字型態）、時間區間（文字型態）、多項氣象數值指標（整數型態，如溫度、相對溼度、舒適度指數等）與氣象分類描述（文字型態，如風向、天氣現象、天氣代碼等）。資料主要呈現時間序列形式，並依天氣預報更新頻率持續更新，更新時間亦有欄位記錄，方便追蹤資料新舊。

【5. 使用限制與注意事項】  
資料中的時間欄位以文字格式呈現，使用時需轉換為標準時間格式以利分析。部分欄位如風速、風向為文字型態，可能需進一步數值化處理。資料可能存在缺漏值，特別是極端天氣或資料傳輸不及時時段，使用前建議進行完整性檢查。此外，天氣描述及舒適度指數為氣象模型與專家判斷結果，可能帶有一定預測誤差，建議搭配其他氣象資料或現場觀測資料綜合分析。

【6. 潛在價值】  
透過本資料集，使用者能掌握各地區具體的氣象條件與預測變化，協助制定更精準的應對策略，如能源消耗調配、災害風險管理、公共健康預警等。對企業而言，亦可作為產品規劃、行銷策略或勞動力調度的重要參考依據。對研究者則提供豐富的歷史與即時天氣預報數據，支持氣候模型驗證與環境影響評估。

【7. 其他補充（分類說明）】  
本資料集屬於氣象觀測類別，主要聚焦於天氣預報與氣象指標的詳細描述，不直接涵蓋發電、輸電、配電或售電等能源產業相關數據，但其氣象資訊對能源產業中的風力發電、太陽能發電等可再生能源評估及用電需求預測具有重要參考價值。"
中央氣象署鄉鎮氣象預報資料(舊)-6小時降雨機率表,售電,"氣象預報, 降雨機率, 時間序列, 災害預警, 水力發電, 風力發電, 智慧城市, 永續發展, 氣象服務, 發電","【1. 核心描述】  
本資料集記錄了中央氣象署針對臺灣各鄉鎮地區所發布的6小時降雨機率預報資料。資料涵蓋範圍包括全臺各鄉鎮的地理編碼，時間範圍以預報的開始時間與結束時間標示，主要呈現未來6小時內降雨發生的機率百分比。資料以時間序列方式呈現，反映不同時段的降雨可能性。

【2. 應用場景】  
此資料集適用於氣象預報分析、災害預警、農業灌溉規劃、城市排水系統設計以及戶外活動安排等多種情境。能源產業中，也可用於水力發電調度、風力發電影響評估，或作為用電需求預測的氣象參考。此外，政府部門可藉此資料制定防災減災的政策與方案。

【3. 背景資訊】  
資料由中央氣象署收集與發布，作為國家氣象服務的一部分，目的是提供精確且即時的天氣預報資訊，提升公共安全與各行業的氣象應用效率。中央氣象署作為臺灣官方氣象機構，負責監測氣候變化、天氣預測及相關研究。

【4. 資料特徵】  
資料包含五個欄位：  
- 地區編碼（geocode）：字串型態，標示鄉鎮位置。  
- 預報起始時間（stime）與結束時間（etime）：文字格式，代表降雨機率的時間區間。  
- 6小時降雨機率（rain_6hr）：整數，表示該時段內降雨的機率百分比。  
- 最後更新時間（last_update_time）：文字格式，記錄資料最新更新的時間點。  
資料以時間序列方式呈現，更新頻率依中央氣象署發布時程而定，通常為數小時一次。

【5. 使用限制與注意事項】  
資料中可能存在部分時間或地區的缺漏值，且降雨機率為預報值，具有不確定性。使用時應考慮氣象預報本身的誤差範圍。為得到更完整的氣象狀況分析，建議搭配其他氣象資料如溫度、風速或實際降雨量等使用。地區編碼需對應官方地理資訊系統以確保準確定位。

【6. 潛在價值】  
本資料有助於提升災害預警效率，降低洪水或土石流等氣象災害的風險。對能源產業而言，可輔助水力及風力發電的調度決策，優化發電效率與安全運營。在農業與水利管理上，也有助於合理安排灌溉及水資源分配。整體而言，此資料支持跨領域決策與研究，推動智慧城市與永續發展。

【7. 其他補充（分類說明）】  
此資料集屬於氣象觀測類別，主要聚焦於降雨預報，屬於氣象服務與預測範疇，並非直接涵蓋發電、輸電、配電或售電等能源系統分類，但作為氣象資訊，對能源產業有間接且重要的輔助作用。"
